regime,note,kind,S0,K,T,r,sigma,q,price,delta,gamma,vega,theta,rho
base,at-the-money reference contract,call,100.0,100.0,1.0,0.05,0.2,0.0,10.450583572185565,0.6368306511756191,0.018762017345846895,37.52403469169379,-6.414027546438197,53.232481545376345
base,at-the-money reference contract,put,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,-0.3631693488243809,0.018762017345846895,37.52403469169379,-1.657880423934626,-41.89046090469506
itm,in-the-money put: large early-exercise region,call,85.0,100.0,1.0,0.05,0.2,0.0,3.2135985531478717,0.321827472988326,0.021085940635061275,30.46918421766354,-4.254005254309346,24.141736650859837
itm,in-the-money put: large early-exercise region,put,85.0,100.0,1.0,0.05,0.2,0.0,13.336541003219267,-0.6781725270116741,0.021085940635061275,30.46918421766354,0.5021418681942245,-70.98120579921157
otm,out-of-the-money put: few in-the-money Monte Carlo paths,call,115.0,100.0,1.0,0.05,0.2,0.0,21.79051252803113,0.8528671466462736,0.01000736802297332,26.469488420764435,-6.4614093088909605,76.28920933629034
otm,out-of-the-money put: few in-the-money Monte Carlo paths,put,115.0,100.0,1.0,0.05,0.2,0.0,1.9134549781025285,-0.1471328533537264,0.01000736802297332,26.469488420764435,-1.7052621863873907,-18.833733113781065
low_vol,"low volatility: exercise boundary close to the strike, stiff PDE",call,100.0,100.0,1.0,0.05,0.1,0.0,6.804957708822144,0.7088403132116536,0.03429438550193839,34.29438550193839,-4.918672955714081,64.07907361234322
low_vol,"low volatility: exercise boundary close to the strike, stiff PDE",put,100.0,100.0,1.0,0.05,0.1,0.0,1.92790015889355,-0.29115968678834636,0.03429438550193839,34.29438550193839,-0.1625258332105104,-31.043868837728187
high_vol,"high volatility: wide grid needed, large continuation value",call,100.0,100.0,1.0,0.05,0.4,0.0,18.02295145021668,0.627409464153284,0.009460495798345488,37.84198319338195,-9.804296386931977,44.71799496511172
high_vol,"high volatility: wide grid needed, large continuation value",put,100.0,100.0,1.0,0.05,0.4,0.0,13.145893900288087,-0.372590535846716,0.009460495798345488,37.84198319338195,-5.048149264428405,-50.404947484959685
short_maturity,"short maturity: few exercise dates, steep payoff kink",call,100.0,100.0,0.25,0.05,0.2,0.0,4.614997129602855,0.5694601832076737,0.03928800094473793,19.644000472368965,-10.474151248505812,13.082755297791127
short_maturity,"short maturity: few exercise dates, steep payoff kink",put,100.0,100.0,0.25,0.05,0.2,0.0,3.372777178991008,-0.43053981679232634,0.03928800094473793,19.644000472368965,-5.536262246036404,-11.60668971455591
long_maturity,long maturity: large early-exercise premium,call,100.0,100.0,3.0,0.05,0.2,0.0,20.924360952895213,0.7278149270716952,0.009583360639299687,57.50016383579811,-4.509528715573653,155.5713952628229
long_maturity,long maturity: large early-exercise premium,put,100.0,100.0,3.0,0.05,0.2,0.0,6.995158595400991,-0.27218507292830485,0.009583360639299687,57.50016383579811,-0.20598883344836372,-102.64099766469441
high_rate,high rate: strong incentive to exercise early,call,100.0,100.0,1.0,0.1,0.2,0.0,13.269676584660893,0.7257468822499265,0.016661230144589985,33.322460289179965,-9.26274719295117,59.30501164033175
high_rate,high rate: strong incentive to exercise early,put,100.0,100.0,1.0,0.1,0.2,0.0,3.753418388256833,-0.2742531177500736,0.016661230144589985,33.322460289179965,-0.21437301259157682,-31.178730163264195
zero_rate,zero rate: American put must coincide with the European put,call,100.0,100.0,1.0,0.0,0.2,0.0,7.965567455405804,0.539827837277029,0.01984762737385059,39.69525474770118,-3.969525474770118,46.0172162722971
zero_rate,zero rate: American put must coincide with the European put,put,100.0,100.0,1.0,0.0,0.2,0.0,7.965567455405804,-0.460172162722971,0.01984762737385059,39.69525474770118,-3.969525474770118,-53.9827837277029
dividend,continuous dividend yield: early exercise for calls becomes possible,call,100.0,100.0,1.0,0.05,0.2,0.04,8.102643534463212,0.5376747687921226,0.018950578755008714,37.901157510017434,-3.9226583430707054,45.66483334474905
dividend,continuous dividend yield: early exercise for calls becomes possible,put,100.0,100.0,1.0,0.05,0.2,0.04,7.1466420693023025,-0.42311467036020056,0.018950578755008714,37.901157510017434,-3.009668977176428,-49.45810910532236
