regime,S0,K,T,r,sigma,q,beta_minus,S_inf,S_inf_over_K,perpetual_put,american_put_T,european_put_T,dominance_ok
base,100.0,100.0,1.0,0.05,0.2,0.0,-2.4999999999999996,71.42857142857142,0.7142857142857142,12.320032867762636,6.090180715023109,5.573526022256971,True
itm,85.0,100.0,1.0,0.05,0.2,0.0,-2.4999999999999996,71.42857142857142,0.7142857142857142,18.49543508889024,15.315797116516126,13.336541003219267,True
otm,115.0,100.0,1.0,0.05,0.2,0.0,-2.4999999999999996,71.42857142857142,0.7142857142857142,8.686948874757926,2.0366736090430835,1.9134549781025285,True
low_vol,100.0,100.0,1.0,0.05,0.1,0.0,-9.999999999999998,90.9090909090909,0.9090909090909091,3.5049389948139233,2.436687910766657,1.92790015889355,True
high_vol,100.0,100.0,1.0,0.05,0.4,0.0,-0.625,38.46153846153846,0.3846153846153846,33.86790182643598,13.667111816451262,13.145893900288087,True
short_maturity,100.0,100.0,0.25,0.05,0.2,0.0,-2.4999999999999996,71.42857142857142,0.7142857142857142,12.320032867762636,3.479730145197646,3.372777178991008,True
long_maturity,100.0,100.0,3.0,0.05,0.2,0.0,-2.4999999999999996,71.42857142857142,0.7142857142857142,12.320032867762636,8.710320596579018,6.995158595400991,True
high_rate,100.0,100.0,1.0,0.1,0.2,0.0,-4.999999999999999,83.33333333333333,0.8333333333333333,6.69795953360768,4.816081529227699,3.753418388256833,True
zero_rate,100.0,100.0,1.0,0.0,0.2,0.0,,0.0,0.0,100.0,7.965069626308842,7.965567455405804,True
dividend,100.0,100.0,1.0,0.05,0.2,0.04,-1.3507810593582121,57.46094703208939,0.5746094703208939,20.125798733934925,7.305537379029327,7.1466420693023025,True
