M,omega,price,mean_iterations,total_iterations,runtime_s
400,0.8,6.0872779316284005,22.16,8864,0.08620020800000816
400,1.0,6.0872779338671625,13.1,5240,0.05344637500002136
400,1.1,6.0872779341666305,10.36,4144,0.043634542000006604
400,1.2,6.0872779347506984,13.4875,5395,0.055098499999985506
400,1.3,6.087277934001602,17.39,6956,0.0696209160000194
400,1.4,6.08727793439547,22.4125,8965,0.08773758399999565
400,1.5,6.087277934164854,29.205,11682,0.1119492920000198
400,1.6,6.087277934128458,38.985,15594,0.1474326670000039
400,1.8,6.087277934237141,86.3525,34541,0.31944945800000824
400,1.9,6.08727793421845,174.275,69710,0.6337779999999782
800,0.8,6.089542769881976,30.99125,24793,0.3118919580000181
800,1.0,6.089542776056583,19.71625,15773,0.20214841699998942
800,1.1,6.089542777839417,14.71625,11773,0.15460474999997587
800,1.2,6.08954277829139,13.36125,10689,0.14219083399999022
800,1.3,6.089542778631449,16.8775,13502,0.17555562500001543
800,1.4,6.089542779108516,21.59625,17277,0.2185994579999999
800,1.5,6.089542778682299,28.03125,22425,0.2796307500000239
800,1.6,6.089542778099058,37.515,30012,0.36607179200001383
800,1.8,6.089542778287673,83.6375,66910,0.7971768330000089
800,1.9,6.089542778196822,172.0725,137658,1.6189944589999925
1600,0.8,6.0901436067565715,47.559375,76095,1.339762166999975
1600,1.0,6.090143624953296,31.49,50384,0.9239325829999814
1600,1.1,6.090143631216667,25.014375,40023,0.7369603340000026
1600,1.2,6.09014363611273,19.07375,30518,0.5745737080000026
1600,1.3,6.090143637396873,16.885625,27017,0.5120907499999987
1600,1.4,6.090143638726162,20.66375,33062,0.6132017080000196
1600,1.5,6.090143638723407,26.806875,42891,0.7841945840000051
1600,1.6,6.090143636316212,35.898125,57437,1.0352067079999756
1600,1.8,6.090143637554304,80.0725,128116,2.2514368340000033
1600,1.9,6.090143637309558,166.885625,267017,4.609478332999998
3200,0.8,6.090305051514573,77.051875,246566,6.9139340410000045
3200,1.0,6.090305116477983,52.1978125,167033,4.685171999999994
3200,1.1,6.090305139971846,42.570625,136226,3.852615415999992
3200,1.2,6.09030515916893,33.981875,108742,3.121529915999986
3200,1.3,6.090305176088846,25.9778125,83129,2.4158754590000058
3200,1.4,6.090305181534418,21.7178125,69497,2.06321783300001
3200,1.5,6.090305186132282,25.623125,81994,2.384035833000013
3200,1.6,6.090305181708488,34.059375,108990,3.149774416999975
3200,1.8,6.090305182797578,76.0325,243304,6.73099400000001
3200,1.9,6.090305183102625,159.1540625,509293,13.84215900000001
