N,rannacher_steps,price,abs_error,tv_gamma_near_strike
25,0,5.609809230370352,0.036283208113381704,0.46200924285730594
25,2,5.57041830387393,0.003107718383041025,0.012574627063556498
25,4,5.567497511616032,0.006028510640939011,0.012600599419251735
50,0,5.571257740381845,0.0022682818751258438,0.02802343902619442
50,2,5.572273350714731,0.001252671542239625,0.012559897033554979
50,4,5.571539555181572,0.0019864670753984015,0.012566460926852319
100,0,5.572933103959082,0.000592918297888545,0.012554442022320922
100,2,5.572748503588263,0.0007775186687073443,0.012556096631787694
100,4,5.572563758069014,0.0009622641879563076,0.012557752647523124
200,0,5.572914627022096,0.0006113952348743013,0.012554713841054443
200,2,5.5728682826832605,0.000657739573710181,0.012555130037756435
200,4,5.572821933760607,0.0007040884963638305,0.012555546323973488
400,0,5.57290998935463,0.0006160329023403577,0.012554781798922221
400,2,5.572898380688258,0.0006276415687125336,0.012554886176767033
400,4,5.572886771732982,0.0006392505239887214,0.012554990560253776
800,0,5.572908829928787,0.0006171923281836911,0.012554798788582122
800,2,5.57290592490191,0.0006200973550605227,0.01255482492481974
800,4,5.5729030198569225,0.0006230024000482004,0.012554851061393535
