axis,scheme,M,N,h,price,abs_error,reference,runtime_s,local_order
time,cn_rannacher2,4000,100,0.01,6.088780575364814,0.001557604665105572,6.09033818002992,4.211168916999998,
time,cn_rannacher2,4000,200,0.005,6.089688812758816,0.0006493672711043175,6.09033818002992,4.183629374999999,1.2622225321282645
time,cn_rannacher2,4000,400,0.0025,6.090065663802496,0.000272516227424191,6.09033818002992,4.1931509590000005,1.2526925328000666
time,cn_rannacher2,4000,800,0.00125,6.090224531830231,0.00011364819968928686,6.09033818002992,4.245720958,1.2617673095987274
time,cn_rannacher2,4000,1600,0.000625,6.090291659476827,4.652055309328773e-05,6.09033818002992,4.320196249999999,1.2886346759324019
time,cn_no_rannacher,4000,100,0.01,6.077939803162404,0.012400742942316967,6.090340546104721,4.159095583999999,
time,cn_no_rannacher,4000,200,0.005,6.0888457686919395,0.0014947774127813673,6.090340546104721,4.170741249999999,3.052423982773562
time,cn_no_rannacher,4000,400,0.0025,6.090271816264138,6.872984058325926e-05,6.090340546104721,4.205662042,4.442850245475101
time,cn_no_rannacher,4000,800,0.00125,6.090310254926725,3.0291177996133456e-05,6.090340546104721,4.242415291,1.1820389287697182
time,cn_no_rannacher,4000,1600,0.000625,6.090327376500483,1.3169604238250088e-05,6.090340546104721,4.300824624999997,1.2016856927103163
time,fully_implicit,4000,100,0.01,6.0766935967537785,0.013526851269288542,6.090220448023067,7.745034040999997,
time,fully_implicit,4000,200,0.005,6.083332391789434,0.0068880562336328666,6.090220448023067,7.790259375000005,0.9736572271846315
time,fully_implicit,4000,400,0.0025,6.086754154798467,0.0034662932245996814,6.090220448023067,7.790539624999994,0.9907032190970666
time,fully_implicit,4000,800,0.00125,6.088511006661846,0.0017094413612213089,6.090220448023067,7.812644542000001,1.0198687667410697
time,fully_implicit,4000,1600,0.000625,6.089409654012344,0.0008107940107233702,6.090220448023067,7.920715333000004,1.076117598137997
space,cn_rannacher2,200,4000,2.0,6.0790512083638175,0.011290005580669948,6.0903412139444875,0.35624425000000315,
space,cn_rannacher2,400,4000,1.0,6.087486097122861,0.0028551168216264244,6.0903412139444875,0.4419032910000027,1.9834245171769804
space,cn_rannacher2,800,4000,0.5,6.089636966047014,0.0007042478974730315,6.0903412139444875,0.5834177079999989,2.0193945203844748
space,cn_rannacher2,1600,4000,0.25,6.090175954615277,0.0001652593292105209,6.0903412139444875,0.8535287500000095,2.0913516344785097
space,cn_rannacher2,3200,4000,0.125,6.090310051933444,3.116201104358396e-05,6.0903412139444875,2.625395249999997,2.4068714709833157
