scheme,M,N,price,abs_error_vs_crr,n_peclet_violations,n_non_mmatrix_rows,runtime_s,selective_minus_central,full_minus_central
central,200,200,6.0785680244055245,0.01178393845303205,1,1,0.02732387500003597,0.0,0.09284326511656804
central,400,400,6.087277929091819,0.0030740337667376494,1,1,0.06670950000000175,0.0,0.0465050306096364
central,800,800,6.089542774892746,0.0008091879658103096,1,1,0.169984750000026,0.0,0.023281278424098772
central,1600,1600,6.090143625529086,0.00020833732947078687,1,1,0.6551075410000067,0.0,0.011648710074359414
selective,200,200,6.0785680244055245,0.01178393845303205,1,0,0.028904042000021946,0.0,0.09284326511656804
selective,400,400,6.087277929091819,0.0030740337667376494,1,0,0.06909370900001477,0.0,0.0465050306096364
selective,800,800,6.089542774892746,0.0008091879658103096,1,0,0.17211137499998586,0.0,0.023281278424098772
selective,1600,1600,6.090143625529086,0.00020833732947078687,1,0,0.6598134579999737,0.0,0.011648710074359414
full,200,200,6.1714112895220925,0.08105932666353599,1,0,0.02929170800001657,0.0,0.09284326511656804
full,400,400,6.133782959701455,0.04343099684289875,1,0,0.0696810419999565,0.0,0.0465050306096364
full,800,800,6.112824053316845,0.022472090458288463,1,0,0.1745242499999904,0.0,0.023281278424098772
full,1600,1600,6.101792335603445,0.011440372744888627,1,0,0.720344291999993,0.0,0.011648710074359414
