n_paths,degree,n_basis,n_seeds,bermudan_benchmark,in_sample_mean,out_of_sample_mean,in_sample_bias,out_of_sample_bias,foresight_bias,foresight_bias_se,in_sample_reported_se,in_sample_realised_sd,out_of_sample_reported_se,out_of_sample_realised_sd,params_per_path
500,3,4,400,6.067112501646275,6.3292938795126386,5.957460554133654,0.262181377866364,-0.10965194751262075,0.3718333253789845,0.0233029205060974,0.33560323999052905,0.33071895529862133,0.3202038518309591,0.3156194993466969,0.008
500,10,11,400,6.067112501646275,6.612953223029023,5.856289704536248,0.5458407213827483,-0.21082279711002627,0.7566635184927745,0.02324396717503423,0.3504993450482025,0.34340958814958206,0.3127569714965084,0.3192682101180926,0.022
2000,3,4,300,6.067112501646275,6.1337921210290585,6.00775332223125,0.06667961938278388,-0.059359179415024776,0.12603879879780874,0.012504091358124669,0.16318313894042133,0.16387591738160687,0.16102227569967278,0.16495672982975476,0.002
2000,10,11,300,6.067112501646275,6.228960723713269,5.972739056437772,0.16184822206699412,-0.09437344520850299,0.2562216672754971,0.012596077388226419,0.16562241040664663,0.166445732828418,0.159888459689144,0.16171027086803835,0.0055
10000,3,4,200,6.067112501646275,6.081474130628988,6.060786100710864,0.014361628982713093,-0.006326400935410703,0.02068802991812413,0.008249937457724477,0.0722823797480435,0.08304942417488102,0.07212193217684557,0.07815229117087372,0.0004
10000,10,11,200,6.067112501646275,6.102357292734765,6.04969745484025,0.035244791088490324,-0.01741504680602457,0.05265983789451461,0.007797867270424749,0.07223350776951337,0.0805712668092483,0.07173678596626992,0.07415849627240176,0.0011
50000,3,4,100,6.067112501646275,6.068138697910245,6.0618745319377805,0.0010261962639708244,-0.005237969708494106,0.006264165972463367,0.00447390428023418,0.03232508277152282,0.033941803141525353,0.03230622835717358,0.03290179285609485,8e-05
50000,10,11,100,6.067112501646275,6.074602607306366,6.061691328524372,0.0074901056600911176,-0.0054211731219027115,0.012911278781992764,0.00437422048652431,0.03214637530508507,0.032780428568341825,0.0321048696864437,0.03198034466039386,0.00022
200000,3,4,40,6.067112501646275,6.06341812453609,6.060798043765123,-0.003694377110184277,-0.00631445788115137,0.00262008077096767,0.003970280421368393,0.016146257153353338,0.019123169900586504,0.01614753580473275,0.017610215357817375,2e-05
200000,10,11,40,6.067112501646275,6.067364447310094,6.063134271663545,0.0002519456638196971,-0.003978229982729786,0.004230175646549905,0.003860992416618647,0.016057994926248743,0.018750489404908564,0.01605693812122693,0.01807239414366962,5.5e-05
