beta_source,n_paths,price,beta,std_error,deviation_from_bermudan
training,2000,6.152309577940971,0.6215696744982425,0.10862416171732812,0.07368784126221417
training,10000,6.093600958871318,0.6215696744982425,0.04806169605046362,0.014979222192560648
training,50000,6.0599055163611215,0.6215696744982425,0.02122893551551809,-0.018716220317635646
training,200000,6.089375580009212,0.6215696744982425,0.01064181541261435,0.010753843330454593
sample,2000,6.152400813721782,0.6273273500451143,0.1086183918291932,0.07377907704302444
sample,10000,6.093965952885614,0.624693971249372,0.048060946143832356,0.015344216206856665
sample,50000,6.0599541140967075,0.6230232536996595,0.021228861166322097,-0.01866762258204968
sample,200000,6.089379141090357,0.6232895677863837,0.010641763431368688,0.010757404411600113
none,2000,6.158306162143734,1.0,0.13057307975846555,0.07968442546497645
none,10000,6.1378108450117095,1.0,0.05787929510524818,0.05918910833295232
none,50000,6.072557635267328,1.0,0.025748434525066442,-0.006064101411428879
none,200000,6.090159129260035,1.0,0.012896658263653873,0.011537392581278283
