regime,note,S0,K,T,r,sigma,q,bermudan,naive_price,naive_se,vrf_antithetic,vrf_control,control_correlation,control_beta,vrf_antithetic_control
base,at-the-money reference contract,100.0,100.0,1.0,0.05,0.2,0.0,6.078621736678757,6.090677098998616,0.02269093768895646,2.809615265415021,2.270869235072527,0.7480912821179845,0.6207834687910829,2.966260854025603
itm,in-the-money put: large early-exercise region,85.0,100.0,1.0,0.05,0.2,0.0,15.294020044461536,15.303673896703552,0.02074267929633315,1.4748077240263981,1.2725695678390334,0.46280486736036264,0.251592585310618,1.267852733709643
otm,out-of-the-money put: few in-the-money Monte Carlo paths,115.0,100.0,1.0,0.05,0.2,0.0,2.031780302652579,2.004682783566621,0.014176777311126886,1.246972058289191,3.179119095354886,0.8279264747997543,0.7321266739500919,3.313722392970174
low_vol,"low volatility: exercise boundary close to the strike, stiff PDE",100.0,100.0,1.0,0.05,0.1,0.0,2.4263891907308883,2.4281557879042253,0.009629253702492834,2.1525304594443075,1.6241326349311258,0.619911343677094,0.4992044973379694,2.2775416974541973
high_vol,"high volatility: wide grid needed, large continuation value",100.0,100.0,1.0,0.05,0.4,0.0,13.654147519251488,13.673676773053627,0.04608828183580425,4.417598214293189,3.1724353575612736,0.8275187046915313,0.7179946400285591,3.801373391214692
short_maturity,"short maturity: few exercise dates, steep payoff kink",100.0,100.0,0.25,0.05,0.2,0.0,3.476804286040986,3.474210727516066,0.013396160793638515,2.734496580541543,2.851903383030079,0.8058270286290029,0.6746503865339121,3.512864776466758
long_maturity,long maturity: large early-exercise premium,100.0,100.0,3.0,0.05,0.2,0.0,8.676735453263186,8.677185285222787,0.03088011912983315,2.729781551307058,1.7993370875793822,0.6665136820981029,0.5695150183899986,2.5016932378625745
high_rate,high rate: strong incentive to exercise early,100.0,100.0,1.0,0.1,0.2,0.0,4.794959522108782,4.791279068625118,0.018268573732080705,2.3081820638858512,1.652926575680586,0.6285005819547818,0.5205259533435739,2.3329189203406084
zero_rate,zero rate: American put must coincide with the European put,100.0,100.0,1.0,0.0,0.2,0.0,7.965517671061605,7.9460603660032865,0.029552720990229063,3.3102545128975325,5.372265126142121,0.9021418187895262,0.8130034459673376,6.085637315601507
dividend,continuous dividend yield: early exercise for calls becomes possible,100.0,100.0,1.0,0.05,0.2,0.04,7.301650031410292,7.303804279386387,0.026229516207714684,3.55217782218762,3.3305720972800095,0.8365119863104605,0.7191123134995947,3.9939028733347386
