method,config,error,runtime_s,n_paths,n_steps
cn_psor,M=N=100,0.047511236217177455,0.016096957999991446,,100
cn_psor,M=N=200,0.01180258153358782,0.03408366599995816,,200
cn_psor,M=N=400,0.003092680456676433,0.07849550000003092,,400
cn_psor,M=N=800,0.0008278298280561813,0.1973191669999892,,800
cn_psor,M=N=1600,0.0002269922208864017,0.5701938749999726,,1600
cn_psor,M=N=3200,6.540044081493335e-05,1.7398972920000233,,3200
cn_psor,M=N=6400,2.0466754905967832e-05,9.82746879199999,,6400
crr,N=2000,0.00038066008358317305,0.015250125000022763,,2000
crr,N=5000,0.00015120454707684416,0.0671289999999658,,5000
crr,N=10000,7.519975663150547e-05,0.23398979099999906,,10000
crr,N=20000,3.7380903424200085e-05,0.8540996250000035,,20000
crr,N=40000,1.8649777243417986e-05,3.174677291000023,,40000
crr,N=80000,9.301496684877009e-06,12.083319500000016,,80000
lsm_antithetic_control,"5,000p x 10d",0.10233519776885422,0.0033867293333382045,5000.0,10
lsm_antithetic_control,"5,000p x 25d",0.08621786393283613,0.00788471516666315,5000.0,25
lsm_antithetic_control,"5,000p x 50d",0.0637845514239825,0.015180076166672052,5000.0,50
lsm_antithetic_control,"5,000p x 100d",0.08055314016410833,0.030295583500001538,5000.0,100
lsm_antithetic_control,"5,000p x 200d",0.04480576609557385,0.059216381999988243,5000.0,200
lsm_antithetic_control,"20,000p x 10d",0.07357959909154566,0.010913645666666602,20000.0,10
lsm_antithetic_control,"20,000p x 25d",0.04845906437623384,0.026273194333327865,20000.0,25
lsm_antithetic_control,"20,000p x 50d",0.025977657670547764,0.05590565966666835,20000.0,50
lsm_antithetic_control,"20,000p x 100d",0.05012669704949856,0.10960454849999716,20000.0,100
lsm_antithetic_control,"20,000p x 200d",0.03632883605495395,0.2130050071666858,20000.0,200
lsm_antithetic_control,"80,000p x 10d",0.06006102188204811,0.041633645666668904,80000.0,10
lsm_antithetic_control,"80,000p x 25d",0.02635634762005451,0.10672606233332733,80000.0,25
lsm_antithetic_control,"80,000p x 50d",0.017750387642376655,0.2165386873333167,80000.0,50
lsm_antithetic_control,"80,000p x 100d",0.014358508574816029,0.4289031944999901,80000.0,100
lsm_antithetic_control,"80,000p x 200d",0.01888387294047904,0.8571413681666608,80000.0,200
lsm_antithetic_control,"200,000p x 10d",0.05967848912034236,0.07449834033334923,200000.0,10
lsm_antithetic_control,"200,000p x 25d",0.03437796392469458,0.18959589600001436,200000.0,25
lsm_antithetic_control,"200,000p x 50d",0.02042967707646065,0.3698647361666569,200000.0,50
lsm_antithetic_control,"200,000p x 100d",0.01520143274332003,0.7260193680000006,200000.0,100
lsm_antithetic_control,"200,000p x 200d",0.016788457881105934,1.5412120280000086,200000.0,200
