family,spec,value,runtime_s
crr,N=10000,6.090295412879168,0.22957895799999994
crr,N=20000,6.090333231732376,0.834430959
crr,N=40000,6.0903519628585565,3.0733129999999997
crr,N=80000,6.090361311139115,11.807344042
crr_richardson,2V_20000-V_10000,6.090371050585583,
crr_richardson,2V_40000-V_20000,6.090370693984737,
crr_richardson,2V_80000-V_40000,6.090370659419674,
cn,"M=1600, N=12800",6.090186675058991,5.635671666
cn,"M=3200, N=12800",6.0903219764785295,8.804128792
cn,"M=6400, N=12800",6.09035573120595,18.626164041
cn_space_richardson,"(4V_6400-V_3200)/3, N=12800",6.090366982781757,
cn,"M=6400, N=6400",6.090350637608641,17.88859920899999
cn,"M=6400, N=12800",6.09035573120595,18.972382042000007
cn,"M=6400, N=25600",6.090357823362889,31.625732209000006
cn_time_correction,order p=1.265,3.583070170302743e-06,
cn_extrapolated,space Richardson + time correction,6.090370565851927,
reference,mean of the two extrapolations,6.0903706126358,
reference_uncertainty,|crr_ext - cn_ext|,9.356774643975996e-08,
